Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Dark Grey ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,69.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,49.0,dresses,,5.0,95.0,,,,,,,,,,
Brown ,Casual ,Plain ,Pinafore ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,59.0,dresses,100.0,,,,,,,,,,,,
Apricot ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.85,59.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean ",4.84,59.0,dresses,89.0,11.0,,,,,,,,,,,
Navy Blue ,Party ,Floral ,A Line ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean ",4.84,69.0,dresses,89.0,11.0,,,,,,,,,,,
Dark Green ,Elegant ,Plain ,A Line ,High Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ","Machine wash, do not dry clean ",5.0,99.0,dresses,92.0,8.0,,,,,,,,,,,
Teal Blue ,Casual ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,29.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,39.0,dresses,95.0,5.0,,,,,,,,,,,
Dark Green ,Party ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,63.0,dresses,100.0,,,,,,,,,,,,
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,139.0,dresses,100.0,,,,,,,,,,,,
