Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Black and White ,Casual ,Striped ,Tee ,Slight Stretch ,Fabric ,100% Cotton ,Hand wash or professional dry clean ,4.92,₪59.00
Multicolor ,Casual ,Graphic ,A Line ,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,₪69.00
Blue ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"96% Polyester, 4% Spandex ",Machine wash or professional dry clean ,4.82,₪39.00
Dark Grey ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,₪69.00
Black ,Casual ,Plain ,Cami ,Slight Stretch ,Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.89,₪49.00
Brown ,Casual ,Plain ,Pinafore ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,₪59.00
Apricot ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.85,₪59.00
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean ",4.84,₪59.00
Navy Blue ,Party ,Floral ,A Line ,Slight Stretch ,Knitted Fabric ,"89% Polyester, 11% Elastane ","Machine wash, do not dry clean ",4.84,₪69.00
Dark Green ,Elegant ,Plain ,A Line ,High Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ","Machine wash, do not dry clean ",5.0,₪99.00
Teal Blue ,Casual ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪29.00
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,₪39.00
Dark Green ,Party ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,₪63.00
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Mesh Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,₪139.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.71,₪69.00
Light Grey ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.88,₪39.00
Apricot ,Elegant ,Plain ,A Line ,Slight Stretch ,Satin ,100% Polyester ,Hand wash or professional dry clean ,0.0,₪79.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪79.00
Apricot ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,₪69.00
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,₪69.00
Black ,Party ,Plain ,A Line ,High Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.89,₪109.00
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Hand wash or professional dry clean ,4.77,₪29.00
Black and White ,Elegant ,Plaid ,Pinafore ,Non-Stretch ,Tweed ,100% Polyester ,"Hand wash,do not dry clean ",5.0,₪89.00
Multicolor ,Casual ,Leopard Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.9,₪59.00
Apricot ,Casual ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"67% Polyester, 29% Viscose, 4% Elastane ",Hand wash or professional dry clean ,4.92,₪39.00
Black ,Casual ,Plain ,Pinafore ,Non-Stretch ,Corduroy ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.85,₪49.00
Brown ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,₪59.00
Brown ,Casual ,Plain ,A Line ,Non-Stretch ,Corduroy ,"97% Polyester, 3% Elastane ",Hand wash or professional dry clean ,4.89,₪79.00
White ,Elegant ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0.0,₪69.00
Beige ,Casual ,Plain ,Tank ,Slight Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.69,₪69.00
Mocha Brown ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"75% Polyester, 20% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.94,₪63.00
Green ,Elegant ,Plain ,A Line ,Medium Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,₪79.00
Multicolor ,Boho ,Paisley ,A Line ,Slight Stretch ,Composite Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪59.00
Multicolor ,Casual ,Chevron ,A Line ,Slight Stretch ,Knitted Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.91,₪59.00
Black ,Elegant ,Plaid ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",5.0,₪79.00
Black ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,₪99.00
Dark Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪89.00
Green ,Casual ,Plain ,Tee ,Medium Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.86,₪69.00
Teal Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.98,₪79.00
Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪49.00
Beige ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.89,₪89.00
Dark Green ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"85% Polyester, 15% Spandex ",Machine wash or professional dry clean ,4.88,₪179.00
